"","species","decimalLongitude","decimalLatitude"
"1","Pteridium aquilinum",-72.22671,42.43795
"2","Pteridium aquilinum",-81.1,37.8
"3","Pteridium aquilinum",-120.511978,38.642479
"4","Pteridium aquilinum",-80.252862,27.101981
"5","Pteridium aquilinum",-81.896438,42.645018
"6","Pteridium aquilinum",-123.738517,48.644608
"7","Pteridium aquilinum",-122.059349,36.995693
"8","Pteridium aquilinum",-81.990259,27.072848
"9","Pteridium aquilinum",-122.194367,37.842455
"10","Pteridium aquilinum",-121.555314,40.173289
"11","Pteridium aquilinum",-70.744705,42.12293
"12","Pteridium aquilinum",-92.118753,46.529125
"13","Pteridium aquilinum",-76.036834,46.150344
"14","Pteridium aquilinum",-122.909835,38.120412
"15","Pteridium aquilinum",-75.451478,40.328443
"16","Pteridium aquilinum",-123.012222,38.30507
"17","Pteridium aquilinum",-80.924057,29.081613
"18","Pteridium aquilinum",-122.60489,37.894464
"19","Pteridium aquilinum",-81.275209,32.00839
"20","Pteridium aquilinum",-74.008658,41.326503
"21","Pteridium aquilinum",-110.714878,32.41081
"22","Pteridium aquilinum",-94.336433,30.584015
"23","Pteridium aquilinum",-122.629637,37.958967
"24","Pteridium aquilinum",-89.38938,31.344645
"25","Pteridium aquilinum",-86.83538,30.468194
"26","Pteridium aquilinum",-97.981465,19.872481
"27","Pteridium aquilinum",-75.782286,45.77636
"28","Pteridium aquilinum",-159.63628,22.002413
"29","Pteridium aquilinum",-87.486804,30.315249
"30","Pteridium aquilinum",-122.713858,37.998542
"31","Pteridium aquilinum",-111.602343,40.398878
"32","Pteridium aquilinum",-80.230729,34.580145
"33","Pteridium aquilinum",-80.132954,32.81266
"34","Pteridium aquilinum",-103.729758,44.37266
"35","Pteridium aquilinum",-155.588923,19.674474
"36","Pteridium aquilinum",-124.180497,40.829545
"37","Pteridium aquilinum",-122.246763,37.3811
"38","Pteridium aquilinum",-59.955169,45.908897
"39","Pteridium aquilinum",-122.950698,38.119263
"40","Pteridium aquilinum",-79.214565,44.877649
"41","Pteridium aquilinum",-122.223666,37.275341
"42","Pteridium aquilinum",-77.35969,47.998849
"43","Pteridium aquilinum",-79.099189,47.285595
"44","Pteridium aquilinum",-79.440282,44.918759
"45","Pteridium aquilinum",-82.160963,28.572844
"46","Pteridium aquilinum",-87.408857,30.373141
"47","Pteridium aquilinum",-87.56,14.75
"48","Pteridium aquilinum",-86.69,31.14
"49","Pteridium aquilinum",-87.1,32.88
"50","Pteridium aquilinum",-86.63,32.9
"51","Pteridium aquilinum",-85.59,31.91
"52","Pteridium aquilinum",-86.7,33.01
"53","Pteridium aquilinum",-84.68,32.01
"54","Pteridium aquilinum",-86.23,30.38
"55","Pteridium aquilinum",-85.33,32.6
"56","Pteridium aquilinum",-85.33,32.58
"57","Pteridium aquilinum",-85.56,33.56
"58","Pteridium aquilinum",-85.53,33.56
"59","Pteridium aquilinum",-86.78,33.09
"60","Pteridium aquilinum",-85.3,33.33
"61","Pteridium aquilinum",-87.6,33.27
"62","Pteridium aquilinum",-87.76,32.53
"63","Pteridium aquilinum",-84.56,33.48
"64","Pteridium aquilinum",-87.63,32.41
"65","Pteridium aquilinum",-86.05,33.31
"66","Pteridium aquilinum",-87.06,34.52
"67","Pteridium aquilinum",-88.41,30.86
"68","Pteridium aquilinum",-86.76,31.63
"69","Pteridium aquilinum",-86.13,34.13
"70","Pteridium aquilinum",-84.53,32.55
"71","Pteridium aquilinum",-87.98,32.44
"72","Pteridium aquilinum",-87.46,34.32
"73","Pteridium aquilinum",-84.31,32.41
"74","Pteridium aquilinum",-87.94,32.39
"75","Pteridium aquilinum",-84.01,34.56
"76","Pteridium aquilinum",-85.38,33.63
"77","Pteridium aquilinum",-86.25,34.45
"78","Pteridium aquilinum",-85.85,31.06
"79","Pteridium aquilinum",-87.78,34.32
"80","Pteridium aquilinum",-87.98,32.75
"81","Pteridium aquilinum",-84.76,31.01
"82","Pteridium aquilinum",-84.98,31
"83","Pteridium aquilinum",-85.09,31.61
"84","Pteridium aquilinum",-85.63,32.5
"85","Pteridium aquilinum",-86.21,33.78
"86","Pteridium aquilinum",-85.81,31.71
"87","Pteridium aquilinum",-85.06,31.45
"88","Pteridium aquilinum",-85.59,34.73
"89","Pteridium aquilinum",-85.71,31
"90","Pteridium aquilinum",-85.58,32.8
"91","Pteridium aquilinum",-85.46,31.11
"92","Pteridium aquilinum",-86.26,31.32
"93","Pteridium aquilinum",-86.15,33.18
"94","Pteridium aquilinum",-84.15,33.46
"95","Pteridium aquilinum",-85.11,32.73
"96","Pteridium aquilinum",-85.16,32.78
"97","Pteridium aquilinum",-86.55,32.85
"98","Pteridium aquilinum",-87.76,31.46
"99","Pteridium aquilinum",-84.08,33.06
"100","Pteridium aquilinum",-86.38,32.88
"101","Pteridium aquilinum",-88.02,33.47
"102","Pteridium aquilinum",-88.2,32.54
"103","Pteridium aquilinum",-84.6,31.01
"104","Pteridium aquilinum",-84.56,31.03
"105","Pteridium aquilinum",-86.2,32.98
"106","Pteridium aquilinum",-85.68,31.55
"107","Pteridium aquilinum",-86.75,31.01
"108","Pteridium aquilinum",-86.25,31.8
"109","Pteridium aquilinum",-85.23,34.05
"110","Pteridium aquilinum",-86.8,31.27
"111","Pteridium aquilinum",-85.82,33.47
"112","Pteridium aquilinum",-86.95,31.4
"113","Pteridium aquilinum",-85.21,33.91
"114","Pteridium aquilinum",-86.88,32.76
"115","Pteridium aquilinum",-86.84,33.84
"116","Pteridium aquilinum",-84.85,31.91
"117","Pteridium aquilinum",-86.08,30.46
"118","Pteridium aquilinum",-87.58,31.55
"119","Pteridium aquilinum",-87.46,33.27
"120","Pteridium aquilinum",-87.31,34.14
"121","Pteridium aquilinum",-86.25,30.61
"122","Pteridium aquilinum",-87.77,33.25
"123","Pteridium aquilinum",-86.55,33.23
"124","Pteridium aquilinum",-155.31981,19.439155
"125","Pteridium aquilinum",-123.490499,38.740763
"126","Pteridium aquilinum",-80.137226,43.536935
"127","Pteridium aquilinum",-122.537613,37.865472
"128","Pteridium aquilinum",-122.189617,37.841499
"129","Pteridium aquilinum",-86.881487,46.443373
"130","Pteridium aquilinum",-86.052753,46.043788
"131","Pteridium aquilinum",-80.081497,45.728334
"132","Pteridium aquilinum",-70.544035,41.87049
"133","Pteridium aquilinum",-122.519141,37.834372
"134","Pteridium aquilinum",-66.548394,48.972989
"135","Pteridium aquilinum",-94.205653,46.716583
"136","Pteridium aquilinum",-80.067358,45.73859
"137","Pteridium aquilinum",-74.544581,39.807786
"138","Pteridium aquilinum",-122.479877,48.735415
"139","Pteridium aquilinum",-122.68317,44.10233
"140","Pteridium aquilinum",-155.735297,19.058327
"141","Pteridium aquilinum",-82.409072,29.74893
"142","Pteridium aquilinum",-87.474358,30.522451
"143","Pteridium aquilinum",-124.732772,49.356769
"144","Pteridium aquilinum",-81.710147,26.023652
"145","Pteridium aquilinum",-89.444892,45.636211
"146","Pteridium aquilinum",-122.150578,37.799773
"147","Pteridium aquilinum",-109.276292,31.904826
"148","Pteridium aquilinum",-89.425767,45.707675
"149","Pteridium aquilinum",-121.757881,49.986607
"150","Pteridium aquilinum",-93.443886,34.571407
"151","Pteridium aquilinum",-122.389439,37.45306
"152","Pteridium aquilinum",-83.580471,37.817985
"153","Pteridium aquilinum",-82.661007,28.144055
"154","Pteridium aquilinum",-82.464657,27.173112
"155","Pteridium aquilinum",-82.218164,27.770664
"156","Pteridium aquilinum",-122.10405,37.070247
"157","Pteridium aquilinum",-75.18421,45.441868
"158","Pteridium aquilinum",-81.641183,29.013953
"159","Pteridium aquilinum",-122.264143,37.908536
"160","Pteridium aquilinum",-84.972733,45.430745
"161","Pteridium aquilinum",-122.224128,37.885188
"162","Pteridium aquilinum",-84.112103,46.308257
"163","Pteridium aquilinum",-122.957066,38.416924
"164","Pteridium aquilinum",-155.940426,19.640812
"165","Pteridium aquilinum",-123.430223,44.985123
"166","Pteridium aquilinum",-121.851816,36.46762
"167","Pteridium aquilinum",-122.077147,37.019061
"168","Pteridium aquilinum",-155.661419,19.081011
"169","Pteridium aquilinum",-122.133147,37.055303
"170","Pteridium aquilinum",-79.393818,42.088578
"171","Pteridium aquilinum",-121.056719,35.622964
"172","Pteridium aquilinum",-95.519975,50.015588
"173","Pteridium aquilinum",-82.335975,27.860204
"174","Pteridium aquilinum",-84.875467,30.799108
"175","Pteridium aquilinum",-122.09274,37.159023
"176","Pteridium aquilinum",-79.943172,43.737095
"177","Pteridium aquilinum",-121.681695,36.801412
"178","Pteridium aquilinum",-82.358414,27.821672
"179","Pteridium aquilinum",-122.137878,37.049283
"180","Pteridium aquilinum",-83.859238,30.384053
"181","Pteridium aquilinum",-83.548347,32.746986
"182","Pteridium aquilinum",-80.145913,45.715118
"183","Pteridium aquilinum",-123.294145,44.638062
"184","Pteridium aquilinum",-86.148676,30.323963
"185","Pteridium aquilinum",-74.484962,41.991298
"186","Pteridium aquilinum",-122.475731,37.577939
"187","Pteridium aquilinum",-81.166863,32.832215
"188","Pteridium aquilinum",-122.97053,44.141535
"189","Pteridium aquilinum",-82.411687,28.693393
"190","Pteridium aquilinum",-122.045892,36.992319
"191","Pteridium aquilinum",-123.460939,44.310572
"192","Pteridium aquilinum",-111.607087,40.389996
"193","Pteridium aquilinum",-70.609025,41.571353
"194","Pteridium aquilinum",-122.134236,37.811949
"195","Pteridium aquilinum",-85.617504,32.475764
"196","Pteridium aquilinum",-122.479972,37.57659
"197","Pteridium aquilinum",-81.568942,33.291703
"198","Pteridium aquilinum",-123.610584,44.275391
"199","Pteridium aquilinum",-89.475075,45.616669
"200","Pteridium aquilinum",-120.511765,38.623744
"201","Pteridium aquilinum",-122.177492,37.810733
"202","Pteridium aquilinum",-79.283751,42.296116
"203","Pteridium aquilinum",-81.336822,28.994372
"204","Pteridium aquilinum",-122.573328,37.893455
"205","Pteridium aquilinum",-81.847051,33.324507
"206","Pteridium aquilinum",-122.816278,38.012633
"207","Pteridium aquilinum",-122.200988,37.917878
